,Region,State_var,Significance,if_tsfresh,if_log,model,train_rmse_1,train_rmse_2,train_rmse_3,train_rmse_4,train_rmse_5,test_rmse_1,test_rmse_2,test_rmse_3,test_rmse_4,test_rmse_5,train_mape_1,train_mape_2,train_mape_3,train_mape_4,train_mape_5,test_mape_1,test_mape_2,test_mape_3,test_mape_4,test_mape_5,mean_train_rmse,mean_test_rmse,mean_train_mape,mean_test_mape,med_train_rmse,med_test_rmse,med_train_mape,med_test_mape,max_train_rmse,max_test_rmse,max_train_mape,max_test_mape,HL_train_rmse,HL_test_rmse,HL_train_mape,HL_test_mape
265,A,t_V,5,FALSE,FALSE,RF,33.78328854,38.28910349,33.5241063,38.31082766,80.4901147,104.6130813,128.2098472,180.8643564,123.761552,141.6015217,3.460332481,3.599122565,3.342009447,3.455694356,8.750013064,9.927687934,16.01674717,16.34358161,16.3044648,16.826618,44.87948814,135.8100717,4.521434383,15.0838199,38.28910349,128.2098472,3.460332481,16.3044648,80.4901147,180.8643564,8.750013064,16.826618,38.28910349,132.6815368,3.527408461,16.18016439
337,A,t_V,2.5,TRUE,FALSE,RF,34.30057715,38.13818381,48.74711773,38.1315073,79.74981136,107.3450503,127.1428031,181.0712106,124.8663247,143.4035209,3.517888601,3.618256361,5.317765672,3.40364068,8.715918922,10.40501089,15.83140961,16.188822,16.67208213,17.03521932,47.81343947,136.7657819,4.914694047,15.22650879,38.13818381,127.1428031,3.618256361,16.188822,79.74981136,181.0712106,8.715918922,17.03521932,43.43931251,134.1349228,4.417827136,16.188822
349,A,t_V,3.5,TRUE,FALSE,RF,51.80360133,38.17870958,49.01912128,37.8740893,101.1205544,104.1910157,125.6703312,184.0924205,125.2193023,144.4875085,5.846278771,3.572468146,5.327887186,3.372972769,11.02127833,9.823666384,15.82274441,16.64772991,16.57296916,16.26838919,55.59921517,136.7321156,5.82817704,15.02709981,49.01912128,125.6703312,5.327887186,16.26838919,101.1205544,184.0924205,11.02127833,16.64772991,49.01912128,134.8534054,5.327887186,16.19785678
373,A,t_V,5.5,TRUE,FALSE,RF,33.90262069,37.6753658,49.01746953,53.34219558,81.55696592,108.7905994,129.5167603,181.1297307,127.8448876,141.211422,3.4288766,3.575582558,5.327073028,5.679700798,8.868462216,10.84576119,15.90021274,16.19828927,16.87318265,16.68352281,51.0989235,137.69868,5.37593904,15.30019373,49.01746953,129.5167603,5.327073028,16.19828927,81.55696592,181.1297307,8.868462216,16.87318265,49.01746953,134.5281548,5.327073028,16.19828927
183,A,Q_V,6.5,TRUE,FALSE,LCEN,138.2557062,138.4961371,136.0729176,137.1162429,140.3252522,151.2307405,154.1806365,171.6625306,164.8731707,140.4634338,14.06278691,13.98929897,13.26661271,14.22844391,14.12971709,14.63471929,17.62527765,14.90804883,16.68645495,17.50159556,138.0532512,156.4821024,13.93537192,16.27121926,138.2557062,154.1806365,14.06278691,16.68645495,140.3252522,171.6625306,14.22844391,17.62527765,138.1990849,156.0629822,14.05950803,16.2048222
1474,A,t_V,3.5,FALSE,TRUE,ALVEN,148.9189625,155.2790873,146.2425051,140.9440804,143.0133644,151.6385001,147.1572026,196.7081075,188.9290227,142.261833,14.351896,15.00491489,14.08759566,13.46640367,13.42379009,12.84557657,16.20718292,16.78687049,20.45526843,15.48405302,146.8795999,165.3389332,14.06692006,16.35579029,146.2425051,151.6385001,14.08759566,16.20718292,155.2790873,196.7081075,15.00491489,20.45526843,146.2425051,168.0431127,14.08759566,16.20718292
2440,C,V_t,7.5,TRUE,TRUE,ALVEN,82.13606573,100.4092931,90.91693604,107.910049,74.65916449,105.3595084,548.5470641,233.3817534,141.2190944,207.3149534,8.59758145,10.64917086,9.384630512,10.98370794,7.701980031,9.180156065,23.25071966,17.17056765,16.60975703,13.5273926,91.20630165,247.1644747,9.463414159,15.9477186,90.91693604,207.3149534,9.384630512,16.60975703,107.910049,548.5470641,10.98370794,23.25071966,91.2726794,207.3149534,9.384630512,16.21543786
2338,C,V_t,7.5,FALSE,TRUE,ALVEN,82.13872495,100.4111796,90.91907181,107.9102749,74.6674826,105.3649123,548.7082858,233.4381579,141.2186143,207.776686,8.597802961,10.64936987,9.384944552,10.98373557,7.702699272,9.180479797,23.25555346,17.17298021,16.60967242,13.53535907,91.20934676,247.3013313,9.463710444,15.95080899,90.91907181,207.776686,9.384944552,16.60967242,107.9102749,548.7082858,10.98373557,23.25555346,91.27495226,207.776686,9.384944552,16.21801663
244,A,t_V,3,FALSE,FALSE,ALVEN,135.6878242,139.900392,94.41541548,144.6068528,114.3480506,135.0487284,134.926497,205.1918818,165.2548243,150.8675041,14.4512337,14.6978082,9.980656334,15.15527847,11.8544485,12.44613819,16.21925895,16.56992273,19.49373899,16.06372148,125.791707,158.2578871,13.22788504,16.15855607,135.6878242,150.8675041,14.4512337,16.21925895,144.6068528,205.1918818,15.15527847,19.49373899,127.1242213,150.8675041,13.27612835,16.21925895
329,A,t_V,1.5,TRUE,FALSE,XGB,13.63493994,0.130231006,7.123591136,16.99919369,2.708356872,138.9893005,144.0307485,181.1575575,111.9700242,168.8866732,1.613850497,0.012475351,0.795952103,1.907383164,0.296159242,15.05782315,17.38705656,15.43376926,13.29958637,20.15578576,8.11926253,149.0068608,0.925164071,16.26680422,7.123591136,144.0307485,0.795952103,15.43376926,16.99919369,181.1575575,1.907383164,20.15578576,8.171648408,146.5637909,0.955004869,16.22243985
215,A,t_V,0.5,FALSE,FALSE,XGB,10.6191139,9.395708951,2.428480732,0.133484604,2.848644381,138.0630432,143.0536067,175.527495,128.7898693,160.028601,1.219383308,1.037509519,0.259982915,0.014001902,0.316235614,14.1120918,17.52343891,14.92148604,15.85986865,20.03363675,5.085086513,149.092523,0.569422652,16.49010443,2.848644381,143.0536067,0.316235614,15.85986865,10.6191139,175.527495,1.219383308,20.03363675,5.376299251,149.0458221,0.616692605,16.22246248
1450,A,t_V,1.5,FALSE,TRUE,ALVEN,127.4609384,72.46050142,89.87925732,128.1117673,89.05688677,131.7288508,137.4798244,193.3973236,170.9446671,153.2890926,12.59767612,7.025704019,9.140769985,12.56669007,8.81750308,12.00453289,17.04844632,16.3687113,19.94074754,15.41375199,101.3938702,157.3679517,10.02966866,16.15523801,89.87925732,153.2890926,9.140769985,16.3687113,128.1117673,193.3973236,12.59767612,19.94074754,100.2861344,154.2122457,9.811690072,16.23109915
1288,A,Q_V,5,FALSE,TRUE,ALVEN,154.1608964,144.5763869,134.0330138,150.9839993,153.7508311,154.9247499,153.0204565,185.9269448,163.8060303,152.0305828,15.1211726,13.80879366,12.66827562,15.1568422,15.1024699,14.28601478,16.24758449,15.33546508,17.40702499,17.93445283,147.5010255,161.9417528,14.3715108,16.24210843,150.9839993,154.9247499,15.1024699,16.24758449,154.1608964,185.9269448,15.1568422,17.93445283,149.163609,158.4132434,14.46498313,16.24758449
1282,A,Q_V,4.5,FALSE,TRUE,ALVEN,154.1608964,144.5763855,134.0330139,150.9839993,153.7508311,154.9247499,153.0204596,185.9269455,163.8060303,152.0305828,15.1211726,13.80879349,12.66827583,15.1568422,15.1024699,14.28601478,16.24758498,15.33546487,17.40702499,17.93445283,147.5010252,161.9417536,14.37151081,16.24210849,150.9839993,154.9247499,15.1024699,16.24758498,154.1608964,185.9269455,15.1568422,17.93445283,149.1636083,158.4132449,14.46498305,16.24758498
1384,A,Q_V,4.5,TRUE,TRUE,ALVEN,140.2903932,144.5761068,139.8156624,150.9839725,154.7885288,149.9221662,153.0234385,185.303464,163.8063182,152.3004456,13.36883887,13.80887264,13.08816685,15.15684043,15.18579925,13.65951366,16.24817834,15.42750469,17.40705478,17.91916377,146.0909327,160.8711665,14.12170361,16.13228305,144.5761068,153.0234385,13.80887264,16.24817834,154.7885288,185.303464,15.18579925,17.91916377,145.6371829,158.0533819,14.13698305,16.24817834
1390,A,Q_V,5,TRUE,TRUE,ALVEN,140.2903919,144.5761267,139.8156597,150.9839824,154.7885299,149.9221652,153.0234577,185.3034622,163.8063229,152.3004489,13.36883872,13.80887562,13.0881663,15.15684216,15.18579938,13.65951373,16.24817993,15.4275045,17.40705584,17.91916419,146.0909381,160.8711714,14.12170444,16.13228364,144.5761267,153.0234577,13.80887562,16.24817993,154.7885299,185.3034622,15.18579938,17.91916419,145.6371872,158.0533859,14.13698284,16.24817993
1451,A,t_V,1.5,FALSE,TRUE,XGB,13.07216232,0.109037717,4.252023557,0.515440993,0.14871238,136.9664982,146.2040695,196.3640897,134.2265202,163.5169276,1.43710757,0.007870647,0.392477909,0.013122049,0.007486155,13.73737612,15.90068085,16.27038024,16.65633063,18.42340585,3.619475393,155.455621,0.371612866,16.19763474,0.515440993,146.2040695,0.013122049,16.27038024,13.07216232,196.3640897,1.43710757,18.42340585,2.200367969,150.2417129,0.200174278,16.27038024
1540,A,t_V,0.5,TRUE,TRUE,ALVEN,95.31746943,86.67334251,80.72988177,73.33612237,79.55126288,186.5453503,128.222905,203.0809063,437.5335975,146.6625027,9.770842116,8.926512428,8.286480274,7.601538889,8.422181669,17.68004917,14.86787337,15.87168792,32.7829949,14.58153982,83.12161579,220.4090524,8.601511075,19.15682904,80.72988177,186.5453503,8.422181669,15.87168792,95.31746943,437.5335975,9.770842116,32.7829949,83.1123027,186.5453503,8.606496351,16.27396127
